status,locale,timezones,urlbase,fullstartdate
舍弃,aa-ER,UTC+03:00,OHR.TexasCapitol_EN-US1992205396_UHD.jpg,202506190700 
舍弃,af-NA,UTC+01:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,af-ZA,UTC+02:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,am-ET,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-EG,UTC+02:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-DZ,UTC+01:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-BH,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-DJ,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-ER,UTC+03:00,OHR.TexasCapitol_EN-US1992205396_UHD.jpg,202506190700 
舍弃,ar-IQ,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-IL,UTC+02:00,OHR.TexasCapitol_EN-US1992205396_UHD.jpg,202506190700 
舍弃,ar-YE,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-JO,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-QA,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-KM,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-KW,UTC+03:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-LB,UTC+02:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-LY,UTC+01:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-MA,UTC,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-MR,UTC,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-OM,UTC+04:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-PS,UTC+02:00,OHR.WinterBegins_ROW5099492663_UHD.jpg,202506190700 
舍弃,ar-SA,UTC+03:00,OHR.AsianSwallowtail_ROW5026758014_UHD.jpg,144612220700 
